index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento
270;21,76000023;159,3200073;12/01/2019 06:00;-0,8339851;-5,9165792;5,975068249
271;21,76000023;159,3200073;12/01/2019 07:00;-1,2171371;-5,784316;5,910984208
272;21,76000023;159,3200073;12/01/2019 08:00;-1,3264561;-5,6978827;5,850243845
273;21,76000023;159,3200073;12/01/2019 09:00;-1,5000801;-5,342098;5,548716189
274;21,76000023;159,3200073;12/01/2019 10:00;-1,7690904;-4,188714;4,546977657
275;21,76000023;159,3200073;12/01/2019 11:00;-1,8387544;-3,6966462;4,128705714
276;21,76000023;159,3200073;12/01/2019 12:00;-1,7605164;-3,2029705;3,654919701
277;21,76000023;159,3200073;12/01/2019 13:00;-1,4915061;-2,4741154;2,888916312
278;21,76000023;159,3200073;12/01/2019 14:00;-1,0917418;-2,116321;2,381326255
279;21,76000023;159,3200073;12/01/2019 15:00;-0,70698214;-1,9004384;2,027680906
280;21,76000023;159,3200073;12/01/2019 16:00;-0,40581918;-1,6536006;1,702669713
281;21,76000023;159,3200073;12/01/2019 17:00;-0,22040582;-1,7263654;1,740378183
282;21,76000023;159,3200073;12/01/2019 18:00;-0,25684547;-2,1597388;2,174957765
283;21,76000023;159,3200073;12/01/2019 19:00;-0,29060555;-2,6783395;2,694059031
284;21,76000023;159,3200073;12/01/2019 20:00;-0,21397519;-2,938042;2,945823514
285;21,76000023;159,3200073;12/01/2019 21:00;-0,33026052;-3,065883;3,083619721
286;21,76000023;159,3200073;12/01/2019 22:00;-0,23112321;-3,2226694;3,23094661
287;21,76000023;159,3200073;12/01/2019 23:00;-0,44493818;-3,1298037;3,161272083
288;21,76000023;159,3200073;13/01/2019 00:00;-0,75467515;-3,1032705;3,193716077
289;21,76000023;159,3200073;13/01/2019 01:00;-1,0108244;-3,0015604;3,167196047
290;21,76000023;159,3200073;13/01/2019 02:00;-0,89185977;-2,789296;2,928410153
291;21,76000023;159,3200073;13/01/2019 03:00;-0,9470551;-2,5597448;2,729323507
292;21,76000023;159,3200073;13/01/2019 04:00;-1,2176731;-2,5774336;2,85059498
293;21,76000023;159,3200073;13/01/2019 05:00;-1,688709;-2,591906;3,093495563
