index,lat,long,time,significant_wave_height,energy_wave_period,mean_wave_direction
198,41.0,6.0,2019-01-09 06:00:00,6.452896,9.443745,326.29895
199,41.0,6.0,2019-01-09 07:00:00,6.2775097,9.3813925,326.7161
200,41.0,6.0,2019-01-09 08:00:00,6.145111,9.322812,327.01797
201,41.0,6.0,2019-01-09 09:00:00,6.1025963,9.284721,327.14423
202,41.0,6.0,2019-01-09 10:00:00,6.155651,9.275797,326.82587
203,41.0,6.0,2019-01-09 11:00:00,6.270049,9.275797,325.9422
204,41.0,6.0,2019-01-09 12:00:00,6.4474487,9.275545,325.47565
205,41.0,6.0,2019-01-09 13:00:00,6.591216,9.299681,325.71716
206,41.0,6.0,2019-01-09 14:00:00,6.6301775,9.349588,326.76
207,41.0,6.0,2019-01-09 15:00:00,6.782116,9.414077,328.80725
208,41.0,6.0,2019-01-09 16:00:00,6.903146,9.4970455,331.03015
209,41.0,6.0,2019-01-09 17:00:00,6.85921,9.55814,333.05
210,41.0,6.0,2019-01-09 18:00:00,6.9700556,9.693529,334.57584
211,41.0,6.0,2019-01-09 19:00:00,7.003925,9.80164,335.48694
212,41.0,6.0,2019-01-09 20:00:00,6.7178116,9.761915,335.81628
213,41.0,6.0,2019-01-09 21:00:00,6.4639096,9.67417,335.6516
214,41.0,6.0,2019-01-09 22:00:00,6.2418637,9.588688,334.76245
215,41.0,6.0,2019-01-09 23:00:00,6.010936,9.513639,333.46713
216,41.0,6.0,2019-01-10 00:00:00,5.7859297,9.440979,332.2212
217,41.0,6.0,2019-01-10 01:00:00,5.5703974,9.371839,331.41986
218,41.0,6.0,2019-01-10 02:00:00,5.334022,9.320801,330.5801
219,41.0,6.0,2019-01-10 03:00:00,5.1247663,9.265614,329.52628
220,41.0,6.0,2019-01-10 04:00:00,4.9633536,9.199366,328.5877
221,41.0,6.0,2019-01-10 05:00:00,4.816152,9.1263275,328.14313
222,41.0,6.0,2019-01-10 06:00:00,4.7094517,9.111116,328.07727
223,41.0,6.0,2019-01-10 07:00:00,4.4821954,9.05505,327.9785
224,41.0,6.0,2019-01-10 08:00:00,4.250675,9.000492,327.7699
225,41.0,6.0,2019-01-10 09:00:00,4.0486436,8.917398,327.8852
226,41.0,6.0,2019-01-10 10:00:00,3.8595195,8.832796,327.9126
227,41.0,6.0,2019-01-10 11:00:00,3.6766722,8.752593,327.94556
228,41.0,6.0,2019-01-10 12:00:00,3.5126543,8.668367,328.00043
229,41.0,6.0,2019-01-10 13:00:00,3.383335,8.557115,328.25293
230,41.0,6.0,2019-01-10 14:00:00,3.284569,8.422103,328.7963
231,41.0,6.0,2019-01-10 15:00:00,3.197764,8.277286,329.49335
232,41.0,6.0,2019-01-10 16:00:00,3.0988796,8.159495,330.00378
233,41.0,6.0,2019-01-10 17:00:00,2.9902844,8.066345,330.26724
234,41.0,6.0,2019-01-10 18:00:00,2.9637573,8.080173,330.27274
235,41.0,6.0,2019-01-10 19:00:00,2.8760047,8.007261,330.08063
236,41.0,6.0,2019-01-10 20:00:00,2.8105159,7.9347267,329.8062
237,41.0,6.0,2019-01-10 21:00:00,2.769186,7.8699865,329.45493
238,41.0,6.0,2019-01-10 22:00:00,2.7702518,7.791041,328.81274
239,41.0,6.0,2019-01-10 23:00:00,2.8204637,7.687456,328.62616
240,41.0,6.0,2019-01-11 00:00:00,2.8447406,7.6674685,328.19803
241,41.0,6.0,2019-01-11 01:00:00,2.8336086,7.7029185,327.5888
242,41.0,6.0,2019-01-11 02:00:00,2.8055422,7.7353516,327.07288
243,41.0,6.0,2019-01-11 03:00:00,2.7535539,7.7768354,326.50204
244,41.0,6.0,2019-01-11 04:00:00,2.6795387,7.8242283,325.82144
245,41.0,6.0,2019-01-11 05:00:00,2.636669,7.9056883,325.16827
246,41.0,6.0,2019-01-11 06:00:00,2.5528245,7.9103394,324.52612
247,41.0,6.0,2019-01-11 07:00:00,2.49077,7.8924885,323.95532
248,41.0,6.0,2019-01-11 08:00:00,2.4662561,7.834285,323.62048
249,41.0,6.0,2019-01-11 09:00:00,2.4794014,7.747797,323.53268
250,41.0,6.0,2019-01-11 10:00:00,2.5261788,7.6383038,323.3296
