"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-09 23:00:00', '1.1753961', '4.5583467')",3.0858294862951707
"('2019-01-10 00:00:00', '1.1427349', '4.5515447')",2.912365480239467
"('2019-01-10 01:00:00', '1.1230438', '4.525361')",2.796679499539629
"('2019-01-10 02:00:00', '1.113611', '4.4966617')",2.732456894957519
"('2019-01-10 03:00:00', '1.1129625', '4.4807277')",2.719604149381208
"('2019-01-10 04:00:00', '1.1195655', '4.4950776')",2.760783098260745
"('2019-01-10 05:00:00', '1.1379006', '4.5307655')",2.874592695907249
"('2019-01-10 06:00:00', '1.1765163', '4.5782876')",3.105239112753261
"('2019-01-10 07:00:00', '1.2470858', '4.6440725')",3.5390584822503763
"('2019-01-10 08:00:00', '1.337877', '4.7493663')",4.165471061407611
"('2019-01-10 09:00:00', '1.4228907', '4.869476')",4.8308259592134295
"('2019-01-10 10:00:00', '1.4852654', '4.964799')",5.366682207180597
"('2019-01-10 11:00:00', '1.5758797', '5.0156755')",6.103397189362203
"('2019-01-10 12:00:00', '1.6222186', '5.076336')",6.545837101911342
"('2019-01-10 13:00:00', '1.6611881', '5.141096')",6.951674299292701
"('2019-01-10 14:00:00', '1.6841807', '5.2045517')",7.233638138551528
"('2019-01-10 15:00:00', '1.6433246', '5.271083')",6.9749748805825895
"('2019-01-10 16:00:00', '1.5587827', '5.3225183')",6.33701007631239
"('2019-01-10 17:00:00', '1.4703497', '5.350752')",5.668291509238453
"('2019-01-10 18:00:00', '1.7290456', '5.973196')",8.750154869855793
"('2019-01-10 19:00:00', '1.6298239', '5.987732')",7.793630253053194
"('2019-01-10 20:00:00', '1.5420983', '5.979718')",6.967883811020522
"('2019-01-10 21:00:00', '1.4642184', '5.9502735')",6.2509313365298524
"('2019-01-10 22:00:00', '1.393295', '5.9031243')",5.61518624205628
"('2019-01-10 23:00:00', '1.3229024', '5.857652')",5.023139688640118
"('2019-01-11 00:00:00', '1.2517433', '5.8148828')",4.464446232372414
"('2019-01-11 01:00:00', '1.1815275', '5.7626085')",3.9418751427277354
"('2019-01-11 02:00:00', '1.1682036', '5.7973647')",3.876714175727207
"('2019-01-11 03:00:00', '1.106713', '5.664769')",3.3997603735800186
"('2019-01-11 04:00:00', '1.05159', '5.5085993')",2.9849025551252697
"('2019-01-11 05:00:00', '0.9990607', '5.3670583')",2.624920434979458
"('2019-01-11 06:00:00', '0.956318', '5.2197404')",2.3391046091098926
"('2019-01-11 07:00:00', '0.9306725', '5.0636635')",2.149090380009096
"('2019-01-11 08:00:00', '0.9231852', '4.9225883')",2.0557356253381363
"('2019-01-11 09:00:00', '0.9268404', '4.8331356')",2.0343935581355725
"('2019-01-11 10:00:00', '0.9258971', '4.820463')",2.024931244039992
"('2019-01-11 11:00:00', '0.9232441', '4.8200903')",2.0131880155620627
"('2019-01-11 12:00:00', '0.912809', '4.831738')",1.9726920011941296
"('2019-01-11 13:00:00', '0.8950045', '4.841149')",1.9001809829063319
"('2019-01-11 14:00:00', '0.8718351', '4.8316445')",1.799532737828927
"('2019-01-11 15:00:00', '0.849432', '4.776948')",1.688899586582943
"('2019-01-11 16:00:00', '0.8312149', '4.6727724')",1.581966735708057
"('2019-01-11 17:00:00', '0.8106984', '4.569249')",1.471497529415779
"('2019-01-11 18:00:00', '0.7882954', '4.467869')",1.3604246596396892
"('2019-01-11 19:00:00', '0.7697834', '4.354189')",1.2642717662230132
"('2019-01-11 20:00:00', '0.749208', '4.2583065')",1.1712181925130805
"('2019-01-11 21:00:00', '0.7417207', '4.1255245')",1.1121312637462883
"('2019-01-11 22:00:00', '0.74850047', '3.9875247')",1.09467102043759
"('2019-01-11 23:00:00', '0.7853476', '3.851761')",1.1640704192569913
"('2019-01-12 00:00:00', '0.8499037', '3.7813168')",1.3383773680097817
"('2019-01-12 01:00:00', '0.96486664', '3.8102958')",1.7381584103301504
"('2019-01-12 02:00:00', '1.1473334', '4.016131')",2.590497773940636
"('2019-01-12 03:00:00', '1.2366507', '4.1921487')",3.1414261492699
"('2019-01-12 04:00:00', '1.2756791', '4.315333')",3.4410681601747437
"('2019-01-12 05:00:00', '1.3241994', '4.431249')",3.8074044054338807
"('2019-01-12 06:00:00', '1.3825061', '4.504955')",4.219108068925345
"('2019-01-12 07:00:00', '1.4734743', '4.6011167')",4.894907163280776
"('2019-01-12 08:00:00', '1.5629096', '4.725046')",5.6554847868988505
"('2019-01-12 09:00:00', '1.6268761', '4.8393784')",6.276168863067273
"('2019-01-12 10:00:00', '1.6687343', '4.928645')",6.725088493555136
"('2019-01-12 11:00:00', '1.7206151', '4.995083')",7.246132128961702
"('2019-01-12 12:00:00', '1.764301', '5.0713043')",7.735014131049458
"('2019-01-12 13:00:00', '1.809048', '5.1348534')",8.234254950745509
"('2019-01-12 14:00:00', '1.8506116', '5.1940227')",8.716266162808616
"('2019-01-12 15:00:00', '1.8899348', '5.24844')",9.18586292802352
"('2019-01-12 16:00:00', '1.9331491', '5.2916756')",9.689915629521186
"('2019-01-12 17:00:00', '1.9801954', '5.386719')",10.349908149820479
"('2019-01-12 18:00:00', '1.8990729', '5.3935213')",9.531291477958504
"('2019-01-12 19:00:00', '1.7865272', '5.3614674')",8.38492177210135
"('2019-01-12 20:00:00', '1.6544672', '5.298664')",7.106876755119875
"('2019-01-12 21:00:00', '1.5051923', '5.21797')",5.792707956895507
"('2019-01-12 22:00:00', '1.3623435', '5.109974')",4.6471642060645895
"('2019-01-12 23:00:00', '1.2104745', '5.0360823')",3.6157649350022325
"('2019-01-13 00:00:00', '1.0736392', '4.9759808')",2.8105511629308264
"('2019-01-13 01:00:00', '0.9604449', '4.8899755')",2.210281927998131
"('2019-01-13 02:00:00', '0.8683567', '4.7707977')",1.76272027685951
"('2019-01-13 03:00:00', '0.7951932', '4.6103415')",1.4284810751023684
"('2019-01-13 04:00:00', '0.7323468', '4.443362')",1.167727083588171
"('2019-01-13 05:00:00', '0.67498314', '4.2970695')",0.959299698414446
"('2019-01-13 06:00:00', '0.62699354', '4.146024')",0.7986454546660602
"('2019-01-13 07:00:00', '0.58089054', '4.018181')",0.664376379437622
"('2019-01-13 08:00:00', '0.5310143', '3.944848')",0.5450530663160262
"('2019-01-13 09:00:00', '0.48385', '3.8872628')",0.44592464277700994
"('2019-01-13 10:00:00', '0.4385134', '3.8427227')",0.362076937975543
"('2019-01-13 11:00:00', '0.40803337', '3.733329')",0.30456760512100617
"('2019-01-13 12:00:00', '0.37955797', '3.649653')",0.2576344205132787
"('2019-01-13 13:00:00', '0.35579896', '3.5691454')",0.22139594857671657
"('2019-01-13 14:00:00', '0.33775866', '3.494508')",0.1953417639128126
"('2019-01-13 15:00:00', '0.32755935', '3.4224796')",0.17993553913044966
"('2019-01-13 16:00:00', '0.32378626', '3.3557625')",0.17238684736849388
"('2019-01-13 17:00:00', '0.32260716', '3.3231497')",0.1694704527181968
"('2019-01-13 18:00:00', '0.32531905', '3.3410401')",0.1732593812135516
"('2019-01-13 19:00:00', '0.33280647', '3.3447673')",0.18152878887380033
"('2019-01-13 20:00:00', '0.34377205', '3.33107')",0.19289499849305808
"('2019-01-13 21:00:00', '0.36511397', '3.2869024')",0.2147038286946481
"('2019-01-13 22:00:00', '0.37348557', '3.279448')",0.22415296253527145
"('2019-01-13 23:00:00', '0.424482', '3.1632524')",0.27928556141246036
"('2019-01-14 00:00:00', '0.5088471', '3.0720286')",0.3897588113075887
"('2019-01-14 01:00:00', '0.60594654', '3.0733333')",0.552935357185233
"('2019-01-14 02:00:00', '0.69821155', '3.172477')",0.7578244617825945
"('2019-01-14 03:00:00', '0.7945446', '3.3048863')",1.0223254293542994
"('2019-01-14 04:00:00', '0.836344', '3.4375749')",1.1781976192178798
"('2019-01-14 05:00:00', '0.7947805', '3.5298233')",1.0925553594820316
"('2019-01-14 06:00:00', '0.70817506', '3.5496707')",0.8722990547384768
"('2019-01-14 07:00:00', '0.61089873', '3.543521')",0.6479918377720614
"('2019-01-14 08:00:00', '0.5171008', '3.5588024')",0.46628385048277954
"('2019-01-14 09:00:00', '0.44287598', '3.5563798')",0.3417971739412564
"('2019-01-14 10:00:00', '0.3931178', '3.4384136')",0.26037519809046844
"('2019-01-14 11:00:00', '0.39288187', '3.1933494')",0.24152744985835276
"('2019-01-14 12:00:00', '0.4580276', '2.9720464')",0.3055167058869076
"('2019-01-14 13:00:00', '0.56096363', '2.9903097')",0.46108570616069433
"('2019-01-14 14:00:00', '0.71595716', '3.1862679')",0.8002993084498139
"('2019-01-14 15:00:00', '0.8940023', '3.4909673')",1.367159337655044
"('2019-01-14 16:00:00', '0.9077978', '3.7285767')",1.505627065708355
"('2019-01-14 17:00:00', '0.8325119', '3.8939717')",1.3224211031062356
"('2019-01-14 18:00:00', '0.7682506', '3.9999177')",1.1567858080669917
"('2019-01-14 19:00:00', '0.72067356', '4.059553')",1.0331216764429172
"('2019-01-14 20:00:00', '0.67822576', '4.1176043')",0.9280881992137098
"('2019-01-14 21:00:00', '0.65599954', '4.0794005')",0.8602001114688461
"('2019-01-14 22:00:00', '0.65953696', '3.9433572')",0.8405053355879577
"('2019-01-14 23:00:00', '0.66985404', '3.8271616')",0.8414595476776046
"('2019-01-15 00:00:00', '0.68919146', '3.7358449')",0.8694902013634244
"('2019-01-15 01:00:00', '0.74060047', '3.6574802')",0.9829830527902895
"('2019-01-15 02:00:00', '0.7895334', '3.6582255')",1.1173971685195125
"('2019-01-15 03:00:00', '0.8971859', '3.7256882')",1.4694928107127878
"('2019-01-15 04:00:00', '1.0969856', '3.9275167')",2.3158795818180176
"('2019-01-15 05:00:00', '1.426192', '4.326887')",4.312485277776592
"('2019-01-15 06:00:00', '1.55837', '4.595805')",5.468885508016291
"('2019-01-15 07:00:00', '1.5554812', '4.781048')",5.668246347410888
"('2019-01-15 08:00:00', '1.4942266', '4.8895097')",5.349267533306909
"('2019-01-15 09:00:00', '1.4214168', '4.932652')",4.88336791298048
"('2019-01-15 10:00:00', '1.3363442', '4.9369383')",4.320066636180337
"('2019-01-15 11:00:00', '1.2421925', '4.9181156')",3.7185413754910694
"('2019-01-15 12:00:00', '1.1826477', '4.8253083')",3.3069827511917778
"('2019-01-15 13:00:00', '1.1809969', '4.6724925')",3.1933182884672813
"('2019-01-15 14:00:00', '1.2723186', '4.5308585')",3.593919388044042
"('2019-01-15 15:00:00', '1.3649964', '4.516602')",4.1235466724486
"('2019-01-15 16:00:00', '1.3900526', '4.572324')",4.329079349273753
"('2019-01-15 17:00:00', '1.3570964', '4.6396933')",4.18703653078709
"('2019-01-15 18:00:00', '1.2717291', '4.6847925')",3.712578607418848
"('2019-01-15 19:00:00', '1.1539364', '4.7132125')",3.0752246482547907
"('2019-01-15 20:00:00', '1.0311913', '4.754212')",2.47715455786652
"('2019-01-15 21:00:00', '0.9261329', '4.7603617')",2.0007031557432633
"('2019-01-15 22:00:00', '0.8405298', '4.6920605')",1.6242987655716474
"('2019-01-15 23:00:00', '0.7697834', '4.581828')",1.3303684746091766
"('2019-01-16 00:00:00', '0.70894146', '4.449699')",1.0958407970998725
"('2019-01-16 01:00:00', '0.65906525', '4.281788')",0.9113350378996923
"('2019-01-16 02:00:00', '0.62168753', '4.077257')",0.772162096754976
"('2019-01-16 03:00:00', '0.58849573', '3.888381')",0.6598595772511823
