time;P;G(i);H_sun;T2m;WS10m;Int;capacity factor
20190116:1610;0;0;0;0;0;0;0
20190116:1710;0;0;0;0;0;0;0
20190116:1810;0;0;0;0;0;0;0
20190116:1910;0;0;0;0;0;0;0
20190116:2010;0;0;0;0;0;0;0
20190116:2110;0;0;0;0;0;0;0
20190116:2210;0;0;0;0;0;0;0
20190116:2310;0;0;0;0;0;0;0
20190117:0010;0;0;0;0;0;0;0
20190117:0110;0;0;0;0;0;0;0
20190117:0210;0;0;0;0;0;0;0
20190117:0310;0;0;0;0;0;0;0
20190117:0410;0;0;0;0;0;0;0
20190117:0510;0;0;0;0;0;0;0
20190117:0610;0;0;0;0;0;0;0
20190117:0710;237030;285,67;6,65;0;0;0;0,23703
20190117:0810;464950;542,35;14,96;0;0;0;0,46495
20190117:0910;629600;749,11;21,52;0;0;0;0,6296
20190117:1010;702940;849,3;25,74;0;0;0;0,70294
20190117:1110;740890;902,92;27,13;0;0;0;0,74089
20190117:1210;707700;855,74;25,49;0;0;0;0,7077
20190117:1310;576470;680,02;21,06;0;0;0;0,57647
20190117:1410;437300;509,33;14,33;0;0;0;0,4373
20190117:1510;129600;163,98;5,89;0;0;0;0,1296
20190117:1610;0;0;0;0;0;0;0
20190117:1710;0;0;0;0;0;0;0
20190117:1810;0;0;0;0;0;0;0
20190117:1910;0;0;0;0;0;0;0
20190117:2010;0;0;0;0;0;0;0
20190117:2110;0;0;0;0;0;0;0
20190117:2210;0;0;0;0;0;0;0
20190117:2310;0;0;0;0;0;0;0
20190118:0010;0;0;0;0;0;0;0
20190118:0110;0;0;0;0;0;0;0
20190118:0210;0;0;0;0;0;0;0
20190118:0310;0;0;0;0;0;0;0
20190118:0410;0;0;0;0;0;0;0
20190118:0510;0;0;0;0;0;0;0
20190118:0610;0;0;0;0;0;0;0
20190118:0710;116990;148,72;6,75;0;0;0;0,11699
20190118:0810;381910;442,96;15,09;0;0;0;0,38191
20190118:0910;315430;365,53;21,68;0;0;0;0,31543
20190118:1010;318410;369,57;25,92;0;0;0;0,31841
20190118:1110;726310;882,39;27,33;0;0;0;0,72631
20190118:1210;677100;813,72;25,71;0;0;0;0,6771
20190118:1310;416800;483,02;21,27;0;0;0;0,4168
20190118:1410;205630;243,07;14,54;0;0;0;0,20563
20190118:1510;179600;220,95;6,09;0;0;0;0,1796
20190118:1610;0;0;0;0;0;0;0
20190118:1710;0;0;0;0;0;0;0
20190118:1810;0;0;0;0;0;0;0
20190118:1910;0;0;0;0;0;0;0
20190118:2010;0;0;0;0;0;0;0
20190118:2110;0;0;0;0;0;0;0
20190118:2210;0;0;0;0;0;0;0
20190118:2310;0;0;0;0;0;0;0
20190119:0010;0;0;0;0;0;0;0
20190119:0110;0;0;0;0;0;0;0
20190119:0210;0;0;0;0;0;0;0
20190119:0310;0;0;0;0;0;0;0
20190119:0410;0;0;0;0;0;0;0
20190119:0510;0;0;0;0;0;0;0
20190119:0610;0;0;0;0;0;0;0
20190119:0710;145080;180,42;6,86;0;0;0;0,14508
20190119:0810;157130;189,9;15,22;0;0;0;0,15713
20190119:0910;81190;107,15;21,84;0;0;0;0,08119
20190119:1010;443410;515,44;26,11;0;0;0;0,44341
20190119:1110;405970;471,2;27,54;0;0;0;0,40597
20190119:1210;383000;443,87;25,92;0;0;0;0,383
20190119:1310;436760;506,74;21,49;0;0;0;0,43676
20190119:1410;254090;296,77;14,75;0;0;0;0,25409
20190119:1510;28750;46,97;6,3;0;0;0;0,02875
20190119:1610;0;0;0;0;0;0;0
20190119:1710;0;0;0;0;0;0;0
20190119:1810;0;0;0;0;0;0;0
20190119:1910;0;0;0;0;0;0;0
20190119:2010;0;0;0;0;0;0;0
20190119:2110;0;0;0;0;0;0;0
20190119:2210;0;0;0;0;0;0;0
20190119:2310;0;0;0;0;0;0;0
20190120:0010;0;0;0;0;0;0;0
20190120:0110;0;0;0;0;0;0;0
