index;lat;long;time;100m_ucomponent_wind;100m_vcomponent_wind;velocita_vento;potenza prodotta;capacity factor
190;21,76000023;159,3200073;43473,91667;-2,652216;1,7711743;3,189248832;0;0
191;21,76000023;159,3200073;43473,95833;-2,2444134;1,4266466;2,659457093;0;0
192;21,76000023;159,3200073;43474;-1,8183911;1,0210123;2,085428567;0;0
193;21,76000023;159,3200073;43474,04167;-1,4813244;1,0632241;1,82339449;0;0
194;21,76000023;159,3200073;43474,08333;-0,57944345;0,3299467;0,666797973;0;0
195;21,76000023;159,3200073;43474,125;-0,48137784;0,44371727;0,654682855;0;0
196;21,76000023;159,3200073;43474,16667;0,024490118;0,05175159;0,057253759;0;0
197;21,76000023;159,3200073;43474,20833;0,5276785;-0,7269535;0,898279461;0;0
198;21,76000023;159,3200073;43474,25;0,857779;-0,813387;1,18210965;0;0
199;21,76000023;159,3200073;43474,29167;1,0351543;-0,537604;1,166431518;0;0
200;21,76000023;159,3200073;43474,33333;0,9419117;0,07104837;0,944587487;0;0
201;21,76000023;159,3200073;43474,375;1,0539098;0,6809068;1,254735007;0;0
202;21,76000023;159,3200073;43474,41667;3,2606516;0,3653241;3,281053269;0;0
203;21,76000023;159,3200073;43474,45833;3,8678002;-0,49217615;3,898989068;0;0
204;21,76000023;159,3200073;43474,5;4,091797;-0,7225313;4,155099778;954798,7331;0,053044374
205;21,76000023;159,3200073;43474,54167;4,4985275;-0,76233095;4,562663492;1264220,364;0,070234465
206;21,76000023;159,3200073;43474,58333;5,2814445;-1,2865599;5,435889291;2137860,052;0,118770003
207;21,76000023;159,3200073;43474,625;6,07615;-2,2485843;6,47886797;3619635,608;0,201090867
208;21,76000023;159,3200073;43474,66667;6,669366;-3,691018;7,622601703;5894909,545;0,327494975
209;21,76000023;159,3200073;43474,70833;6,8017273;-4,960183;8,41824861;7940223,09;0,441123505
210;21,76000023;159,3200073;43474,75;6,7792206;-5,1760654;8,529330863;8258712,49;0,458817361
211;21,76000023;159,3200073;43474,79167;6,5884485;-4,5336437;7,997598317;6808418,229;0,378245457
212;21,76000023;159,3200073;43474,83333;6,1699286;-4,370827;7,561226593;5753660,362;0,319647798
213;21,76000023;159,3200073;43474,875;5,467394;-5,1929502;7,540499249;5706472,987;0,317026277
214;21,76000023;159,3200073;43474,91667;4,753069;-5,1764674;7,027622618;4619476,461;0,256637581
215;21,76000023;159,3200073;43474,95833;3,9304981;-6,7270436;7,79114439;6294644,704;0,349702484
216;21,76000023;159,3200073;43475;3,175983;-7,2693634;7,932875409;6644454,979;0,369136388
217;21,76000023;159,3200073;43475,04167;2,6727943;-6,8701615;7,37176698;5331903,235;0,296216846
218;21,76000023;159,3200073;43475,08333;2,7129855;-6,7716675;7,294914054;5166875,552;0,287048642
