"significant_wave_height,energy_wave_period,mean_wave_direction,potenza(kW/m)"
"('2019-01-09 19:00:00', '1.2191222', '4.4554095')",3.244727175157574
"('2019-01-09 20:00:00', '1.2415632', '4.4716415')",3.377541712721183
"('2019-01-09 21:00:00', '1.2500896', '4.4902854')",3.438367630764381
"('2019-01-09 22:00:00', '1.2060957', '4.5278506')",3.2273919154872632
"('2019-01-09 23:00:00', '1.1650624', '4.5448246')",3.0228150796191535
"('2019-01-10 00:00:00', '1.1355753', '4.537497')",2.8671096739717936
"('2019-01-10 01:00:00', '1.1213055', '4.513845')",2.780933646263559
"('2019-01-10 02:00:00', '1.1201212', '4.4927897')",2.762117850041653
"('2019-01-10 03:00:00', '1.133503', '4.49112')",2.8274575093080943
"('2019-01-10 04:00:00', '1.1554703', '4.527201')",2.961716131070018
"('2019-01-10 05:00:00', '1.1831219', '4.58777')",3.1467098815988437
"('2019-01-10 06:00:00', '1.2274117', '4.65344')",3.4351896310846373
"('2019-01-10 07:00:00', '1.3007743', '4.7268085')",3.9189343064720656
"('2019-01-10 08:00:00', '1.3878739', '4.8311567')",4.559814984570809
"('2019-01-10 09:00:00', '1.4674537', '4.944317')",5.217124522088312
"('2019-01-10 10:00:00', '1.5251845', '5.032341')",5.736023316423021
"('2019-01-10 11:00:00', '1.6079617', '5.0788107')",6.43442148870093
"('2019-01-10 12:00:00', '1.6531398', '5.1325154')",6.872986720741447
"('2019-01-10 13:00:00', '1.6950612', '5.1882606')",7.304468625620765
"('2019-01-10 14:00:00', '1.7148969', '5.24549')",7.55889258729475
"('2019-01-10 15:00:00', '1.6706071', '5.3053164')",7.255310698563862
"('2019-01-10 16:00:00', '1.5882444', '5.3498383')",6.61258703178648
"('2019-01-10 17:00:00', '1.5037501', '5.374789')",5.955371224587197
"('2019-01-10 18:00:00', '1.7627395', '5.972405')",9.093301758284278
"('2019-01-10 19:00:00', '1.6679425', '5.9820514')",8.154707163326183
"('2019-01-10 20:00:00', '1.5823233', '5.9720335')",7.326705945439806
"('2019-01-10 21:00:00', '1.5053488', '5.9397554')",6.5953663249663785
"('2019-01-10 22:00:00', '1.4313941', '5.8942127')",5.917528107468433
"('2019-01-10 23:00:00', '1.3548341', '5.8544216')",5.265653922901531
"('2019-01-11 00:00:00', '1.2772675', '5.8138876')",4.647575298039445
"('2019-01-11 01:00:00', '1.2029576', '5.7542467')",4.0802351973224456
"('2019-01-11 02:00:00', '1.1857271', '5.7645426')",3.971279232796043
"('2019-01-11 03:00:00', '1.1240883', '5.6257825')",3.483211718760216
"('2019-01-11 04:00:00', '1.0677786', '5.478396')",3.0606377242280383
"('2019-01-11 05:00:00', '1.0158504', '5.347149')",2.7038206335511625
"('2019-01-11 06:00:00', '0.97594213', '5.2104287')",2.4317429748908093
"('2019-01-11 07:00:00', '0.9540932', '5.0669384')",2.260077364271811
"('2019-01-11 08:00:00', '0.9497708', '4.9407926')",2.1838878426988013
"('2019-01-11 09:00:00', '0.9548037', '4.866218')",2.1737811950924715
"('2019-01-11 10:00:00', '0.9561064', '4.8551803')",2.174772801585181
"('2019-01-11 11:00:00', '0.95344186', '4.858983')",2.1643619497107833
"('2019-01-11 12:00:00', '0.941126', '4.874473')",2.115530506741469
"('2019-01-11 13:00:00', '0.92069817', '4.883563')",2.0284646075419888
"('2019-01-11 14:00:00', '0.8951781', '4.869743')",1.9121458700176028
"('2019-01-11 15:00:00', '0.8706647', '4.808803')",1.7862199668442726
"('2019-01-11 16:00:00', '0.85159874', '4.6950865')",1.6684365618249812
"('2019-01-11 17:00:00', '0.8321775', '4.5784945')",1.5536411503258092
"('2019-01-11 18:00:00', '0.8103286', '4.470992')",1.4385412091801502
"('2019-01-11 19:00:00', '0.79001915', '4.361264')",1.3337784431544686
"('2019-01-11 20:00:00', '0.76834786', '4.2652636')",1.2338368262818211
"('2019-01-11 21:00:00', '0.7597623', '4.135593')",1.1697400266448033
"('2019-01-11 22:00:00', '0.7665124', '3.9989662')",1.1512832422579489
"('2019-01-11 23:00:00', '0.8001443', '3.8693886')",1.213878053015034
"('2019-01-12 00:00:00', '0.8591777', '3.7980604')",1.3738013529386721
"('2019-01-12 01:00:00', '0.963863', '3.818652')",1.7383482340278078
"('2019-01-12 02:00:00', '1.131016', '4.0061083')",2.5110552197243945
"('2019-01-12 03:00:00', '1.2139117', '4.1699123')",3.0109059905177067
"('2019-01-12 04:00:00', '1.2553003', '4.2898436')",3.312323944861441
"('2019-01-12 05:00:00', '1.3104258', '4.406992')",3.7082005345012705
"('2019-01-12 06:00:00', '1.3728343', '4.486111')",4.142879847315591
"('2019-01-12 07:00:00', '1.4628944', '4.5860076')",4.809022455401018
"('2019-01-12 08:00:00', '1.5492243', '4.7105765')",5.53985939189391
"('2019-01-12 09:00:00', '1.6109222', '4.8232727')",6.133198630385665
"('2019-01-12 10:00:00', '1.6521924', '4.9105544')",6.5682223584448405
"('2019-01-12 11:00:00', '1.7025218', '4.9750185')",7.066040839472811
"('2019-01-12 12:00:00', '1.7430815', '5.04375')",7.509050399490092
"('2019-01-12 13:00:00', '1.7877859', '5.1040397')",7.993576567143183
"('2019-01-12 14:00:00', '1.8281679', '5.161733')",8.453251190166561
"('2019-01-12 15:00:00', '1.8596683', '5.2124696')",8.833048019058117
"('2019-01-12 16:00:00', '1.8845369', '5.2494783')",9.135272694580074
"('2019-01-12 17:00:00', '1.9043726', '5.3310094')",9.473476383966284
"('2019-01-12 18:00:00', '1.8076808', '5.3294325')",8.533369211300919
"('2019-01-12 19:00:00', '1.6852322', '5.290476')",7.362246020162381
"('2019-01-12 20:00:00', '1.5499347', '5.2237854')",6.149052627499123
"('2019-01-12 21:00:00', '1.4060518', '5.1381736')",4.97745674760106
"('2019-01-12 22:00:00', '1.2703398', '5.031784')",3.978852864682056
"('2019-01-12 23:00:00', '1.1306016', '4.952387')",3.101914667669147
"('2019-01-13 00:00:00', '1.0057254', '4.8818936')",2.419598056187242
"('2019-01-13 01:00:00', '0.9026979', '4.7853365')",1.9107040609114865
"('2019-01-13 02:00:00', '0.8200984', '4.652234')",1.5331673433241642
"('2019-01-13 03:00:00', '0.75638723', '4.477485')",1.2552163737702084
